id,sexo,edad,edad_r,hab,prov,ccaa,hijos,edu,cs,p1,p2,p3,p4,p5_1,p5_2,p5_3,p5_4,p6,p7,p8_1,p8_2,p8_3,p8_4,p8_5,p8_6,p8_7,p8_8,p8_9,p9_1,p9_2,p9_3,p9_4,p9_5,p9_6,p9_7,p9_8,p9_9,p10,p11_1,p11_2,p11_3,p11_4,p11_5,p11_6,p12,p13_1,p13_2,p13_3,p13_4,p13_5,p13_6,p13_7,p13_8,hab_r,clase_social_r,situacion_laboral_r,educacion_r,ponde
1.0,1,44,3,5,32,4,1,7.0,7,4,10.0,1.0,1.0,9.0,0.0,0.0,5.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,2,2,1,1,2,2,1,1,2,3,1.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2,3,4,4.0,1.2286560845349468
2.0,2,44,3,3,48,12,2,5.0,6,3,10.0,2.0,3.0,0.0,8.0,8.0,0.0,3.0,6.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2,2,2,2,2,2,1,1,2,2,2.0,2.0,3.0,3.0,3.0,3.0,4.0,,,,2.0,,,,,2,3,4,3.0,0.9507261982913896
3.0,2,45,4,5,11,12,1,5.0,5,3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,2,3,1,3.0,0.7305901501429886
4.0,2,71,6,4,9,13,4,4.0,6,1,10.0,2.0,2.0,0.0,6.0,0.0,0.0,2.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2,2,2,2,2,2,2,2,2,3,,1.0,,4.0,3.0,4.0,2.0,,,,3.0,3.0,2.0,3.0,,2,3,5,2.0,1.0449659547799584
5.0,1,58,5,2,1,11,4,6.0,7,4,10.0,4.0,4.0,3.0,0.0,0.0,9.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2,1,2,1,1,1,1,2,3,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2,3,4,4.0,1.0897096850364003
6.0,1,65,6,1,5,1,4,4.0,3,3,8.0,2.0,2.0,0.0,8.0,6.0,0.0,2.0,8.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,1,1,1,1,1,1,1,1,3,,,,3.0,,,,,,,,,,,,1,1,5,2.0,1.098957987576675
7.0,1,32,2,3,47,14,1,4.0,6,4,10.0,,,0.0,8.0,6.0,0.0,19.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,1.0,2,2,1,2,2,2,1,1,2,3,4.0,1.0,4.0,4.0,1.0,4.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,,,2,3,4,2.0,1.039796587093241
8.0,1,39,3,6,47,14,2,7.0,7,4,7.0,3.0,3.0,1.0,3.0,9.0,1.0,3.0,7.0,,1.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,2,2,3,3,1,2,1,1,1,3,3.0,4.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,5.0,2,3,4,4.0,1.2545249401334126
9.0,2,73,6,6,30,3,0,5.0,4,2,10.0,1.0,1.0,10.0,3.0,0.0,7.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2,2,2,3,3,2,2,3,3,3,1.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,2.0,2,2,5,3.0,1.0101153215173737
10.0,1,38,3,1,7,15,0,4.0,3,3,5.0,,1.0,5.0,2.0,0.0,0.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,,2.0,1,2,2,2,2,1,1,1,2,2,,,,,,,4.0,,,,,,,,,1,1,4,2.0,1.4324449316104395
11.0,1,66,6,5,18,16,4,4.0,4,4,5.0,2.0,2.0,0.0,8.0,5.0,0.0,2.0,6.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,1,1,1,1,1,1,1,1,1,2,4.0,2.0,3.0,3.0,2.0,4.0,4.0,,,1.0,1.0,1.0,1.0,4.0,,2,2,4,2.0,0.8760362868528337
12.0,2,68,6,3,21,13,0,3.0,3,4,5.0,17.0,17.0,6.0,0.0,0.0,2.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2,2,2,2,2,2,2,2,2,2,,1.0,3.0,1.0,4.0,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,5,1.0,1.251579078879682
13.0,1,53,4,4,41,12,0,4.0,2,3,0.0,19.0,17.0,0.0,0.0,1.0,0.0,19.0,10.0,1.0,4.0,4.0,4.0,4.0,4.0,,4.0,1.0,1,2,2,2,2,2,2,2,1,3,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,4,2.0,1.1414186104237969
14.0,1,44,3,3,18,16,2,3.0,4,5,9.0,17.0,,0.0,0.0,0.0,0.0,,9.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,2,2,2,2,2,2,2,2,3,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,4,1.0,1.045858819708567
15.0,2,55,5,2,46,11,4,3.0,4,2,7.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1,2,1,1,2,1,1,1,2,2,,2.0,2.0,,,3.0,,,,,,,,,,2,2,3,1.0,0.893224607585764
16.0,2,40,3,1,12,15,0,5.0,4,3,9.0,2.0,2.0,1.0,8.0,7.0,0.0,2.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2,3,2,2,2,2,1,2,2,3,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,1,2,4,3.0,1.0725377317928837
17.0,2,48,4,3,40,9,0,4.0,3,2,9.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,1,1,1,1,1,1,1,1,2,,,,,,,4.0,,,,,,,,,2,1,1,2.0,0.9611165813101976
18.0,2,48,4,5,10,17,0,6.0,4,4,10.0,2.0,2.0,2.0,8.0,5.0,0.0,19.0,7.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2,3,2,2,2,2,1,1,3,3,2.0,1.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,,,,,2,2,1,4.0,0.7494600321694739
19.0,1,70,6,3,47,14,4,4.0,4,4,10.0,3.0,3.0,1.0,6.0,8.0,0.0,3.0,6.0,,3.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,1,2,2,2,2,2,1,2,1,3,2.0,1.0,2.0,,,4.0,4.0,4.0,4.0,2.0,3.0,2.0,1.0,4.0,3.0,2,2,5,2.0,1.08186726816133
20.0,2,47,4,4,47,14,3,8.0,7,5,10.0,1.0,1.0,9.0,3.0,0.0,7.0,1.0,3.0,4.0,,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2,2,1,2,1,1,2,2,3,3,1.0,3.0,1.0,4.0,4.0,,1.0,3.0,3.0,1.0,3.0,,,1.0,1.0,2,3,4,4.0,1.0829986973073542
21.0,2,27,2,2,9,13,1,4.0,3,3,2.0,18.0,5.0,0.0,0.0,0.0,1.0,4.0,,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3,2,2,3,3,3,2,2,2,3,2.0,,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,,,,,,2,1,1,2.0,1.1222323400018324
22.0,2,48,4,2,38,6,3,6.0,6,3,0.0,17.0,17.0,0.0,0.0,0.0,0.0,19.0,,3.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,1,2,1,3,2,2,1,1,2,2,,2.0,,,2.0,,,,,,,,,,,2,3,4,4.0,1.115622624193509
23.0,2,60,5,4,31,7,4,4.0,2,2,10.0,4.0,4.0,5.0,0.0,0.0,10.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,3,3,1,2,2,2,1,2,2,3,1.0,4.0,1.0,4.0,4.0,4.0,1.0,3.0,2.0,1.0,5.0,5.0,5.0,1.0,1.0,2,1,1,2.0,0.9228788193202196
24.0,2,61,5,1,21,13,4,5.0,6,4,9.0,4.0,4.0,6.0,1.0,0.0,7.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2,2,2,2,2,2,2,2,3,3.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1,3,4,3.0,0.9985304602617502
25.0,2,63,5,5,32,4,0,5.0,4,3,0.0,19.0,1.0,0.0,0.0,0.0,0.0,19.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1,1,1,1,1,1,1,1,1,3,2.0,,2.0,4.0,3.0,4.0,4.0,,,,,,,,,2,2,4,3.0,0.8186273830145464
26.0,2,42,3,5,30,3,3,4.0,6,5,10.0,1.0,1.0,10.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3,3,2,3,3,2,2,2,3,3,1.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,4.0,1.0,3.0,4.0,3.0,1.0,3.0,2,3,4,2.0,0.8270606891207762
27.0,1,45,4,6,9,13,1,8.0,6,4,10.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,,2.0,1.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,2,2,1,2,2,2,2,1,2,1,,,,,,,,,,,,,,,,2,3,4,4.0,0.8966915376898558
28.0,2,68,6,3,9,13,4,6.0,2,3,9.0,2.0,2.0,5.0,9.0,7.0,0.0,19.0,7.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1,2,1,1,2,2,1,1,3,3,3.0,1.0,3.0,4.0,2.0,,3.0,4.0,,4.0,3.0,3.0,1.0,4.0,3.0,2,1,5,4.0,1.1974677822364308
29.0,1,40,3,5,13,7,1,4.0,5,3,0.0,19.0,3.0,0.0,0.0,5.0,0.0,19.0,,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2,2,1,2,3,2,1,1,1,3,3.0,1.0,1.0,4.0,,,4.0,3.0,3.0,2.0,3.0,,,,3.0,2,3,4,2.0,0.8520275375477339
30.0,2,44,3,1,9,13,2,4.0,2,3,,,,1.0,0.0,0.0,4.0,,1.0,3.0,3.0,,,4.0,3.0,,,2.0,2,2,1,1,2,1,1,1,1,2,,,,4.0,,,,,,,,,,,,1,1,4,2.0,1.118824067678066
31.0,2,33,2,1,28,13,2,4.0,4,4,7.0,12.0,,0.0,0.0,0.0,0.0,19.0,8.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3,2,2,2,3,2,3,2,3,3,1.0,2.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2,4,2.0,1.080446998225973
32.0,1,68,6,5,15,14,4,5.0,4,3,10.0,1.0,1.0,10.0,0.0,0.0,5.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2,2,2,2,2,2,2,2,2,3,3.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,1.0,1.0,2,2,5,3.0,0.955001779527555
33.0,2,43,3,1,16,11,0,3.0,2,2,0.0,19.0,17.0,,,0.0,,19.0,5.0,4.0,3.0,,4.0,4.0,4.0,3.0,4.0,3.0,2,2,2,2,2,2,1,2,1,2,,3.0,,4.0,,,4.0,,,,,,,,1.0,1,1,1,1.0,1.053186725698415
34.0,2,45,4,5,42,7,0,4.0,5,4,9.0,16.0,16.0,0.0,0.0,0.0,1.0,16.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2,2,1,1,2,1,1,1,1,3,4.0,,4.0,4.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,3,4,2.0,0.6698526858628729
35.0,1,66,6,1,3,7,0,5.0,4,3,9.0,1.0,1.0,9.0,1.0,0.0,5.0,1.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2,2,1,1,3,1,1,1,1,3,2.0,3.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,3.0,3.0,,3.0,,1,2,4,3.0,1.123594477783901
36.0,2,69,6,6,30,3,4,4.0,7,4,0.0,19.0,2.0,0.0,10.0,5.0,0.0,19.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,1,2,1,1,1,1,1,1,1,3,4.0,1.0,4.0,4.0,1.0,4.0,3.0,3.0,2.0,5.0,1.0,4.0,3.0,4.0,4.0,2,3,5,2.0,1.2624992649389533
37.0,1,47,4,2,40,9,3,4.0,3,2,10.0,10.0,9.0,5.0,5.0,4.0,6.0,1.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,2,3,1,2,3,1,2,3,2,3,1.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,4,2.0,1.1849669893169876
38.0,2,47,4,6,31,7,0,4.0,4,3,5.0,2.0,2.0,0.0,7.0,0.0,0.0,19.0,9.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,2,3,2,2,2,1,2,1,3,3,1.0,,,4.0,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2,1,2.0,0.7372120534415668
39.0,2,53,4,1,28,13,4,4.0,5,4,,,6.0,5.0,0.0,0.0,4.0,19.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2,2,2,2,2,2,2,2,2,3,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,,,,,,1,3,4,2.0,0.8792276082103223
40.0,2,56,5,3,5,1,3,8.0,5,5,10.0,2.0,17.0,0.0,5.0,0.0,0.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,2,2,2,2,2,2,2,2,3,,,,4.0,,,4.0,,,,,,,,,2,3,4,4.0,0.6988399485060074
41.0,2,53,4,5,2,14,4,3.0,5,4,1.0,19.0,2.0,2.0,8.0,7.0,,19.0,6.0,4.0,3.0,1.0,3.0,4.0,3.0,3.0,,2.0,2,2,1,2,2,1,1,1,1,2,3.0,2.0,,3.0,,,4.0,5.0,5.0,5.0,5.0,3.0,,3.0,3.0,2,3,1,1.0,0.7170206635581455
42.0,2,35,3,6,30,3,1,5.0,6,5,10.0,3.0,3.0,0.0,0.0,10.0,0.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,1,1,1,1,1,1,1,1,1,3,4.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2,3,4,3.0,0.8248427385740831
43.0,2,64,5,2,46,11,0,5.0,4,3,10.0,1.0,1.0,10.0,0.0,0.0,4.0,1.0,0.0,4.0,4.0,3.0,,3.0,3.0,4.0,2.0,4.0,2,3,2,2,3,2,3,3,2,3,3.0,1.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,,5.0,5.0,4.0,1.0,1.0,2,2,4,3.0,0.893224607585764
44.0,1,58,5,1,26,7,3,4.0,4,3,5.0,2.0,17.0,4.0,5.0,3.0,2.0,18.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,2,2,2,2,2,1,1,1,2,3,4.0,4.0,3.0,3.0,3.0,,3.0,,,,,,,,,1,2,4,2.0,0.9624913311792912
45.0,2,29,2,1,14,10,0,4.0,5,3,10.0,2.0,2.0,1.0,10.0,1.0,0.0,2.0,9.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,4.0,2,1,2,2,3,2,2,1,3,3,3.0,3.0,,3.0,3.0,,4.0,4.0,,,,,,,,1,3,4,2.0,0.9982481562194468
46.0,1,40,3,2,37,16,0,7.0,5,3,6.0,17.0,17.0,0.0,0.0,0.0,0.0,17.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,1,1,1,1,1,1,1,1,1,2,3.0,2.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,3,4,4.0,0.972809271554434
47.0,1,33,2,5,2,14,0,4.0,1,2,0.0,19.0,17.0,0.0,0.0,0.0,0.0,19.0,,3.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2,2,2,1,3,2,1,1,1,2,1.0,,1.0,4.0,,,4.0,3.0,3.0,1.0,3.0,,,,,2,1,1,2.0,1.3277609089370284
48.0,2,65,6,3,44,13,4,4.0,3,2,10.0,1.0,1.0,9.0,0.0,0.0,7.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3,3,2,3,3,3,3,2,2,3,,,3.0,4.0,3.0,,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2,1,5,2.0,1.251579078879682
49.0,1,40,3,3,44,13,1,4.0,7,5,5.0,3.0,12.0,3.0,0.0,2.0,1.0,6.0,5.0,4.0,1.0,2.0,,3.0,4.0,1.0,2.0,3.0,3,3,2,2,3,1,1,2,3,3,1.0,1.0,3.0,,2.0,4.0,3.0,5.0,2.0,3.0,4.0,1.0,,1.0,2.0,2,3,4,2.0,1.3874814481068134
50.0,2,57,5,1,22,7,3,4.0,4,3,10.0,4.0,4.0,10.0,0.0,0.0,10.0,4.0,0.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,1,1,1,1,1,1,1,1,1,2,1.0,4.0,1.0,4.0,4.0,3.0,1.0,,,,,,,,,1,2,5,2.0,0.9860680112976
51.0,2,41,3,6,9,13,3,5.0,4,3,10.0,,,,,,,,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,1,1,1,1,1,1,1,1,2,1.0,1.0,1.0,2.0,1.0,1.0,4.0,5.0,5.0,3.0,5.0,,,,,2,2,3,3.0,0.8231878279884417
52.0,2,68,6,1,34,16,0,3.0,6,3,10.0,2.0,2.0,0.0,9.0,2.0,0.0,2.0,8.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,2,3,2,3,2,2,2,2,2,3,,,,3.0,,4.0,3.0,3.0,3.0,,1.0,1.0,1.0,,,1,3,1,1.0,1.1321637336623795
53.0,2,54,4,1,47,14,0,4.0,2,5,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,3,2.0,1.072525572347069
54.0,2,22,1,2,32,4,0,3.0,1,2,4.0,16.0,,0.0,,5.0,,,,4.0,3.0,,3.0,3.0,3.0,,,3.0,2,2,1,2,3,2,3,2,2,2,3.0,,,3.0,,,4.0,,,1.0,,,,,,2,1,1,1.0,1.2462234230068
55.0,1,73,6,3,47,14,0,6.0,4,2,10.0,2.0,2.0,0.0,10.0,0.0,0.0,2.0,7.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,2,2,2,1,1,2,1,2,1,3,3.0,2.0,4.0,4.0,3.0,,3.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,2,2,4,4.0,1.08186726816133
56.0,2,36,3,5,5,1,0,5.0,4,3,6.0,1.0,1.0,8.0,5.0,0.0,5.0,1.0,5.0,3.0,4.0,,3.0,3.0,3.0,,3.0,3.0,2,3,1,2,2,1,1,2,3,3,2.0,,,3.0,3.0,,,,,,,,,,,2,2,1,3.0,0.6885557628680368
57.0,2,70,6,5,37,16,4,4.0,3,3,10.0,1.0,1.0,10.0,0.0,0.0,10.0,19.0,0.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3,2,2,3,2,2,3,2,3,2,2.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,3,2.0,1.0408653420364304
58.0,2,55,5,5,22,7,3,4.0,5,4,10.0,1.0,1.0,10.0,0.0,0.0,7.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,3.0,,2.0,2,2,1,2,2,2,1,1,2,3,2.0,4.0,,4.0,4.0,4.0,1.0,,4.0,,4.0,,,,,2,3,4,2.0,0.7095283268981405
59.0,2,37,3,2,16,11,0,5.0,5,3,9.0,3.0,3.0,0.0,1.0,9.0,0.0,3.0,8.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,1,2,3,2,3,2,1,3,2,2,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,2,3,4,3.0,0.8187158129855299
60.0,2,47,4,1,50,8,3,4.0,5,2,10.0,1.0,1.0,8.0,0.0,0.0,2.0,1.0,2.0,4.0,4.0,,4.0,4.0,4.0,3.0,,3.0,3,3,1,2,2,2,1,2,3,3,2.0,4.0,1.0,4.0,4.0,,1.0,3.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,1,3,4,2.0,0.8352569008076881
61.0,1,65,6,1,22,7,0,4.0,1,1,8.0,,3.0,0.0,0.0,7.0,0.0,19.0,,3.0,4.0,,4.0,4.0,3.0,3.0,3.0,3.0,2,2,1,2,2,1,1,1,2,3,3.0,1.0,4.0,,1.0,,4.0,3.0,3.0,3.0,2.0,1.0,1.0,,,1,1,1,2.0,1.579214434263241
62.0,1,52,4,6,47,14,0,4.0,7,4,10.0,2.0,2.0,0.0,10.0,0.0,0.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2,2,2,2,2,2,2,2,3,4.0,1.0,3.0,,3.0,,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,4,2.0,1.1846803030389614
63.0,2,54,4,2,50,8,3,5.0,7,3,10.0,3.0,3.0,0.0,0.0,10.0,0.0,3.0,10.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1,2,2,2,1,2,1,1,2,2,3.0,3.0,3.0,3.0,,2.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,2,3,1,3.0,1.0636667853970885
64.0,1,64,5,4,18,16,4,4.0,3,1,9.0,2.0,3.0,0.0,9.0,7.0,0.0,2.0,9.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2,2,2,2,2,2,2,1,1,3,4.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,4.0,4.0,2,1,4,2.0,0.9244839505194676
65.0,1,51,4,6,42,7,3,5.0,6,4,9.0,2.0,2.0,0.0,10.0,7.0,0.0,2.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2,2,2,3,2,2,1,1,3,,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0,5.0,3.0,2,3,4,3.0,0.8603572869316682
66.0,2,59,5,6,47,14,4,4.0,3,2,10.0,1.0,1.0,8.0,2.0,0.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3,3,2,3,3,3,2,2,2,3,3.0,3.0,4.0,4.0,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2,1,1,2.0,0.9403045588567048
67.0,1,56,5,5,8,2,1,3.0,4,4,10.0,19.0,17.0,6.0,5.0,0.0,0.0,19.0,,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,2,3,1,2,2,3,1,1,2,2,3.0,3.0,3.0,3.0,,3.0,3.0,5.0,,5.0,4.0,3.0,,3.0,,2,2,4,1.0,0.7803615998532544
68.0,2,44,3,6,42,7,3,5.0,6,4,10.0,1.0,1.0,10.0,0.0,0.0,8.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,2,2,1,2,2,2,1,2,3,2,2.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,5.0,4.0,4.0,1.0,1.0,2,3,4,3.0,0.7674055359619723
69.0,1,79,6,6,30,3,0,6.0,4,3,10.0,3.0,3.0,0.0,8.0,10.0,0.0,3.0,7.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1,1,1,1,1,1,1,1,1,3,3.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,4.0,2,2,5,4.0,0.9563829310789213
70.0,1,62,5,3,18,16,0,5.0,5,3,10.0,11.0,11.0,5.0,0.0,0.0,7.0,4.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,2,2,1,2,2,2,1,2,1,3,1.0,2.0,1.0,4.0,4.0,4.0,1.0,3.0,5.0,2.0,4.0,4.0,4.0,1.0,1.0,2,3,5,3.0,0.7703707400169559
71.0,2,51,4,5,33,5,0,7.0,3,2,10.0,3.0,3.0,0.0,8.0,10.0,0.0,3.0,9.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,1,2,2,2,2,2,2,2,1,3,4.0,1.0,4.0,4.0,1.0,3.0,3.0,3.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,2,1,4,4.0,0.8535078773204756
72.0,2,67,6,1,24,7,4,6.0,6,3,8.0,2.0,2.0,2.0,6.0,3.0,0.0,2.0,6.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,1,2,3,2,2,3,2,3,1,2,2.0,4.0,4.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1,3,3,4.0,1.153025615589273
73.0,1,75,6,4,47,14,0,4.0,2,4,7.0,4.0,4.0,9.0,0.0,0.0,8.0,19.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3,2,3,1,3,3,1,3,3,3,,2.0,1.0,4.0,4.0,2.0,1.0,2.0,5.0,1.0,4.0,4.0,4.0,2.0,2.0,2,1,3,2.0,1.1256406626153106
74.0,1,57,5,5,32,4,0,5.0,3,4,10.0,1.0,1.0,10.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2,1,2,3,1,1,2,1,3,3.0,2.0,1.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2,1,4,3.0,0.8988961788120958
75.0,1,38,3,2,46,11,1,4.0,5,4,10.0,1.0,1.0,10.0,0.0,0.0,8.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,1,1,1,1,1,1,1,1,3,1.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,3,4,2.0,0.9719976702272468
76.0,2,64,5,6,30,3,0,3.0,1,2,5.0,2.0,2.0,0.0,10.0,5.0,0.0,2.0,6.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3,3,2,3,2,2,2,2,3,3,,,,4.0,,4.0,3.0,,,,1.0,1.0,1.0,,,2,1,1,1.0,1.1796701748099685
